Start	Stop	Theta	Pi	TajimasD	Fay&WuH
10000	60000	0.00310661035614	0.00321093368438	0.124561482352	None
20000	70000	0.00334537215943	0.00327222511308	-0.0809418613323	None
30000	80000	0.00357107671395	0.00364681654704	0.0781158677224	None
40000	90000	0.00478027504922	0.0055163244532	0.555577601782	None
50000	100000	None	None	None	None
60000	110000	0.0021020531166	0.00229541566513	0.319903693244	None
70000	120000	0.00320107372591	0.00342322794348	0.255274289137	None
80000	130000	0.00378176087547	0.00406311858225	0.274932552599	None
90000	140000	0.00351869878009	0.00347263952613	-0.0484430677748	None
100000	150000	0.00337139965573	0.0031671714732	-0.224523193831	None
110000	160000	0.00375806081578	0.00359475757441	-0.161286210766	None
120000	170000	0.00368139918841	0.00333538513405	-0.34823057028	None
130000	180000	0.00312564410029	0.00264511017729	-0.568686608171	None
140000	190000	0.00315562501528	0.00288597947488	-0.315600960236	None
150000	200000	0.00290643715017	0.00261690215394	-0.367890042653	None
160000	210000	0.00278950554813	0.00220645658432	-0.772366545889	None
170000	220000	0.00259347990172	0.00206505316913	-0.754067681718	None
180000	230000	0.0024713777035	0.00194472974342	-0.789716517561	None
190000	240000	0.0024798127735	0.00212691732857	-0.527888362452	None
200000	250000	0.00255971285837	0.00233079398467	-0.331870236101	None
210000	260000	0.00227982428437	0.00215381856035	-0.2048464589	None
220000	270000	0.00234151607696	0.00225687813339	-0.133994517499	None
230000	280000	0.00257433591209	0.00246710791935	-0.154487199489	None
240000	290000	0.00248207653299	0.00222744694022	-0.380618130487	None
250000	300000	0.0024753810618	0.00235206805071	-0.184823225267	None
260000	310000	0.00249433585703	0.00238397811787	-0.163959960281	None
270000	320000	0.00241290570946	0.00231912558537	-0.143675817521	None
280000	330000	0.00220036209325	0.00210005461791	-0.168316559878	None
290000	340000	0.00195186419806	0.00177295865553	-0.337904890498	None
300000	350000	0.00225793911966	0.00181225216865	-0.729315456126	None
310000	360000	0.002314777753	0.00186801518682	-0.71516503821	None
320000	370000	0.00222930262678	0.00185857722307	-0.616885594144	None
330000	380000	0.00211109521356	0.00184838126553	-0.461461346756	None
340000	390000	0.00215822314859	0.00191060736247	-0.425518151228	None
350000	400000	0.00166937145229	0.00138229284112	-0.636421266301	None
360000	410000	0.00144055963061	0.001165761443	-0.704797168331	None
370000	420000	0.00152497133569	0.00139384647294	-0.317838894165	None
380000	430000	0.00172519333012	0.00165503797872	-0.15052959879	None
390000	440000	0.00165615182275	0.00163058634172	-0.0571220170371	None
400000	450000	0.00169153872764	0.00169977707094	0.0180269971342	None
410000	460000	0.00179452083637	0.00191201522344	0.242518092804	None
420000	470000	0.00167076407601	0.0015735592014	-0.215357851634	None
430000	480000	0.00136654972459	0.00114085308407	-0.610212616076	None
440000	490000	0.00151768296957	0.00145416866618	-0.154774727562	None
450000	500000	0.00157981875119	0.00144318816869	-0.320003172347	None
460000	510000	0.00142131634009	0.00115314242936	-0.697297937813	None
470000	520000	0.00132469743186	0.00103027183682	-0.820832264664	None
480000	530000	0.00137916129842	0.00115453034852	-0.601686281986	None
490000	540000	0.00130850704318	0.00085215180677	-1.28730840873	None
500000	550000	0.00128374633167	0.000846529226466	-1.25652798547	None
510000	560000	0.00128026999125	0.000872061712054	-1.17581515253	None
520000	570000	0.00128822254632	0.000963318400041	-0.93036855139	None
530000	580000	0.00112240149839	0.000768880265397	-1.15984129295	None
540000	590000	0.00118120492344	0.000954047304481	-0.708922183516	None
550000	600000	0.00104984771428	0.000854685511135	-0.684363281881	None
560000	610000	0.00112422118604	0.00104117441136	-0.272342147926	None
570000	620000	0.00111843501981	0.00099358707386	-0.411474737036	None
580000	630000	0.00126016885717	0.00107690644106	-0.536855927998	None
590000	640000	0.00101604417203	0.000749218095773	-0.966595202288	None
600000	650000	0.0010714690304	0.000812053337702	-0.891835342156	None
610000	660000	0.000923200198301	0.000515737322074	-1.62230833322	None
620000	670000	0.000978690426337	0.000547513129046	-1.62016596319	None
630000	680000	0.000912775621193	0.000566378984744	-1.39421525606	None
640000	690000	0.00101368745689	0.000694846089583	-1.1577093602	None
650000	700000	0.00111208414145	0.000844614456733	-0.886208139383	None
660000	710000	0.0011319997754	0.00101217995884	-0.39010514264	None
670000	720000	0.000983472195888	0.000892093820234	-0.341940072295	None
680000	730000	0.00102227408546	0.000865788263107	-0.563577750458	None
690000	740000	0.00107615261374	0.000942414685968	-0.457827402609	None
700000	750000	0.000946859769103	0.00076636536573	-0.70101455326	None
710000	760000	0.00101531784457	0.000701664447281	-1.13482774747	None
720000	770000	0.00112608575977	0.000733169064785	-1.28372953323	None
730000	780000	0.00120808516816	0.000819983826481	-1.18298405977	None
740000	790000	0.00122723958975	0.000685572510096	-1.62561306988	None
750000	800000	0.00136093472793	0.000817074576314	-1.47369887792	None
760000	810000	0.00130490770881	0.000763650194336	-1.5314818112	None
770000	820000	0.00132971828941	0.000825927318537	-1.39916406387	None
780000	830000	0.00121972571891	0.000748643456401	-1.42477601433	None
790000	840000	0.00123759432488	0.000879498895569	-1.06746509579	None
800000	850000	0.00118955560028	0.000926071718904	-0.816823297614	None
810000	860000	0.00119584296655	0.00103322965191	-0.500609681158	None
820000	870000	0.00115517691135	0.00110891935713	-0.147336438959	None
830000	880000	0.00118167829228	0.0011027943873	-0.245789864223	None
840000	890000	0.00111350295759	0.00104391778456	-0.229776950673	None
850000	900000	0.00117089524321	0.00104442169594	-0.397369363263	None
860000	910000	0.00113116432484	0.000965057777912	-0.540847900068	None
870000	920000	0.00104279892693	0.000790161090382	-0.891206679836	None
