0	0	0	0.1
1	0	0	0.25
2	0	0	0.5
3	0	0	0.75
4	0	0	1
5	0	3e-05	0.1
6	0	3e-05	0.25
7	0	3e-05	0.5
8	0	3e-05	0.75
9	0	3e-05	1
10	0	0.0003	0.1
11	0	0.0003	0.25
12	0	0.0003	0.5
13	0	0.0003	0.75
14	0	0.0003	1
15	0	0.003	0.1
16	0	0.003	0.25
17	0	0.003	0.5
18	0	0.003	0.75
19	0	0.003	1
20	3e-05	0	0.1
21	3e-05	0	0.25
22	3e-05	0	0.5
23	3e-05	0	0.75
24	3e-05	0	1
25	3e-05	3e-05	0.1
26	3e-05	3e-05	0.25
27	3e-05	3e-05	0.5
28	3e-05	3e-05	0.75
29	3e-05	3e-05	1
30	3e-05	0.0003	0.1
31	3e-05	0.0003	0.25
32	3e-05	0.0003	0.5
33	3e-05	0.0003	0.75
34	3e-05	0.0003	1
35	3e-05	0.003	0.1
36	3e-05	0.003	0.25
37	3e-05	0.003	0.5
38	3e-05	0.003	0.75
39	3e-05	0.003	1
40	0.0003	0	0.1
41	0.0003	0	0.25
42	0.0003	0	0.5
43	0.0003	0	0.75
44	0.0003	0	1
45	0.0003	3e-05	0.1
46	0.0003	3e-05	0.25
47	0.0003	3e-05	0.5
48	0.0003	3e-05	0.75
49	0.0003	3e-05	1
50	0.0003	0.0003	0.1
51	0.0003	0.0003	0.25
52	0.0003	0.0003	0.5
53	0.0003	0.0003	0.75
54	0.0003	0.0003	1
55	0.0003	0.003	0.1
56	0.0003	0.003	0.25
57	0.0003	0.003	0.5
58	0.0003	0.003	0.75
59	0.0003	0.003	1
60	0.003	0	0.1
61	0.003	0	0.25
62	0.003	0	0.5
63	0.003	0	0.75
64	0.003	0	1
65	0.003	3e-05	0.1
66	0.003	3e-05	0.25
67	0.003	3e-05	0.5
68	0.003	3e-05	0.75
69	0.003	3e-05	1
70	0.003	0.0003	0.1
71	0.003	0.0003	0.25
72	0.003	0.0003	0.5
73	0.003	0.0003	0.75
74	0.003	0.0003	1
75	0.003	0.003	0.1
76	0.003	0.003	0.25
77	0.003	0.003	0.5
78	0.003	0.003	0.75
79	0.003	0.003	1
80	0.03	0	0.1
81	0.03	0	0.25
82	0.03	0	0.5
83	0.03	0	0.75
84	0.03	0	1
85	0.03	3e-05	0.1
86	0.03	3e-05	0.25
87	0.03	3e-05	0.5
88	0.03	3e-05	0.75
89	0.03	3e-05	1
90	0.03	0.0003	0.1
91	0.03	0.0003	0.25
92	0.03	0.0003	0.5
93	0.03	0.0003	0.75
94	0.03	0.0003	1
95	0.03	0.003	0.1
96	0.03	0.003	0.25
97	0.03	0.003	0.5
98	0.03	0.003	0.75
99	0.03	0.003	1
100	0.3	0	0.1
101	0.3	0	0.25
102	0.3	0	0.5
103	0.3	0	0.75
104	0.3	0	1
105	0.3	3e-05	0.1
106	0.3	3e-05	0.25
107	0.3	3e-05	0.5
108	0.3	3e-05	0.75
109	0.3	3e-05	1
110	0.3	0.0003	0.1
111	0.3	0.0003	0.25
112	0.3	0.0003	0.5
113	0.3	0.0003	0.75
114	0.3	0.0003	1
115	0.3	0.003	0.1
116	0.3	0.003	0.25
117	0.3	0.003	0.5
118	0.3	0.003	0.75
119	0.3	0.003	1
