nuB	nuF	tau	ll
89.8623235125	2.22375419902	3.62534479508	-815.676688443
92.5462176029	1.9280957011	3.05286992341	-831.816825154
2.59197015744	1.47965848187	0.0280876090095	-1324.17550056
80.443844075	0.984307199899	1.72838650625	-987.642969204
95.5996285846	0.949484823903	1.89018255821	-1020.79642349
88.3800027528	2.97656467407	4.7005778461	-783.151998054
99.3197441229	2.77134765394	4.41332311447	-785.32654891
97.3339775009	2.48205222966	3.76204937439	-797.809615587
0.524720328955	4.79311366047	9.94285779723	-1112.00082541
83.7842391912	3.17563941368	4.85729305234	-777.684550427
96.7848744374	0.804810108454	1.41993978032	-1034.37856046
84.9022497552	2.13243640436	3.42824051123	-822.203083035
93.5268674138	3.47603854828	5.25317175236	-766.120577955
0.775837578689	1.75843926646	9.75653874291	-1243.65413775
97.6173101582	0.553121330698	0.944168064254	-1167.05230321
85.501138295	3.65403613053	5.02791124997	-770.790487683
89.9911000758	0.504147027747	0.581421943821	-1221.53806907
92.6890519271	3.4339509906	5.04234113253	-768.007637461
91.3247182183	4.12316432159	6.46482375927	-759.677770584
86.2336616773	3.47537704529	4.80230922262	-774.492410339
0.523780443703	4.75698786903	9.91292171991	-1112.00064132
82.0908068431	2.87809165341	4.53012220833	-789.291823651
96.9303444646	1.4640451472	2.5273780845	-883.27600102
99.8350125546	2.15357836594	3.54850672851	-815.954889932
87.5966263587	5.38989308184	7.67837821319	-743.893282442
90.1605443034	0.926388629845	1.50240976757	-985.551953641
92.2851861122	0.499943616485	0.603506947095	-1222.44067324
97.6510780616	3.23649814247	5.30392479173	-776.319316079
94.7787994925	2.31108647352	3.69581159287	-807.10973641
97.8244979664	3.28509920149	4.84310651292	-770.557357233
90.9172206995	0.755302166118	1.17617654211	-1042.96207741
63.6906974279	7.52581165447	9.7552849161	-751.492076781
95.3830452462	3.42053441032	5.41064393024	-769.044651155
79.685673942	2.68872740002	4.12401958342	-794.969990853
94.6024776139	0.56296425774	0.748421119543	-1150.02497914
83.1956130278	2.45512198738	3.8862126859	-804.892682834
99.6496576811	0.611129863897	1.12538974094	-1139.36601376
99.1780177097	3.1640137394	4.9752430975	-772.772091154
96.1677735186	0.526714592417	0.570030871699	-1228.37853187
92.7832214766	3.09748035653	4.46218601979	-779.040033229
86.735704568	2.13641291542	3.3787127208	-819.840648134
93.156702285	2.94838941168	4.65261063865	-781.564990436
88.1600481975	1.47409350135	2.46588818041	-882.673395445
89.7481679799	3.84787897903	5.84605120622	-760.918338724
95.135375916	2.97868172668	4.11924071211	-790.060929039
87.0368206257	2.82102400738	4.37988328141	-787.360646307
97.3996262879	0.598795589414	0.942824438787	-1124.19802765
87.2487563713	0.895434623586	1.61485796818	-1014.12831904
73.3376020795	7.02172567105	9.28092947305	-744.996548432
89.7164719023	3.92254519072	6.04041145343	-760.902098641
96.5902107335	0.512239308186	0.719134312039	-1194.77974431
95.086195963	0.506002714389	0.8591065508	-1208.17379861
89.8622593606	0.536503104911	0.723876208019	-1168.53554144
99.1460010924	3.51195862594	5.21128184103	-764.168319056
85.9645772735	2.84103749084	4.3769433539	-786.790319554
34.2641047016	7.87911219768	9.34097339139	-791.806451796
91.0151390995	2.88350907415	4.34023608807	-783.305929287
96.4083970307	3.52535862106	5.38699301658	-764.23656442
90.3473752328	1.48936431808	2.45297233838	-877.863581337
91.4539520619	3.24336788931	5.55654908726	-790.495617956
95.1945572178	3.66778570626	5.1211371391	-767.766083306
92.2410633538	1.14160858028	1.90009061948	-933.590618271
95.7006938077	2.39398657706	3.7950713443	-802.148070041
97.7408522466	4.50230752186	6.79688279897	-748.599677275
92.0391917975	3.16606468968	4.89730955109	-774.753426463
90.1484397885	4.74045557957	6.91742437695	-748.239757061
99.3338377935	3.10238467379	4.79195703478	-773.777746042
0.414669240168	4.45737374857	9.97731235217	-1111.94007014
85.6306041032	6.91587902289	9.6142726814	-738.703125221
91.2682147987	3.38751791844	4.90521589445	-770.441123853
83.7100919508	2.26481836965	3.60445520574	-814.402353081
88.6172357	2.17593375084	3.32626792778	-816.139211421
99.3031871804	0.684293774758	1.15296323487	-1079.82224731
96.8521283807	0.521521478148	0.777380908437	-1183.85542985
98.0212307433	4.49788860262	7.07453851788	-752.627934895
95.9544241346	0.613932151211	0.917912973857	-1111.96971526
86.3131980275	0.98437679233	1.92794303818	-1014.37990264
96.565322494	2.61724404466	3.97566994155	-791.771260372
87.8152176205	3.19166661215	5.0315310228	-777.692093631
99.7599674294	0.80443043266	1.4002199275	-1030.32670015
79.7738772458	2.55357057279	3.82486377773	-799.871914428
83.7487844837	1.19710100099	2.2625347789	-957.183150651
97.3360969344	2.19024665207	3.58019907067	-814.192686648
84.2317904759	3.19131999978	4.75103885706	-776.312026079
99.8753171451	3.05098966867	4.80403894351	-775.649048967
97.6202511999	3.49268991763	6.19631022214	-792.878893762
87.6093298038	3.26207122955	5.34727560926	-782.417894265
97.5190390816	1.67610612025	2.77402705701	-854.103647066
82.1962411344	2.77282259456	4.21027498923	-790.316555757
99.0326856462	1.87057271019	3.04471782911	-834.973268664
94.6685158543	3.20485276974	4.98358909167	-772.929874852
