nuB	nuF	tauB	tauF	ll
0.0101418603942	0.293528145047	0.0121271390825	0.121211698383	-346.002417764
0.0111112216925	0.219138700742	0.0164274834964	0.0988472138756	-343.812072201
0.0100023135569	0.200940670985	0.0162241015645	0.0807107194683	-342.376319769
0.0101307017106	0.148376639446	0.0187834185844	0.0661383114605	-342.162035235
0.0106833341175	0.256065776918	0.0144500529483	0.108320387054	-344.450352884
0.0117202378847	0.144026496045	0.0229228458311	0.0615643850866	-341.908345595
0.0117358817706	0.249709968556	0.0160524764468	0.104600803989	-344.177938704
80.4429321632	0.285710260265	0.000971551741016	0.590952822772	-402.502226579
0.0101920361034	0.181325400986	0.0175583520242	0.0752943062323	-341.988420842
0.0110949291632	0.171509077698	0.0200317406983	0.0732692065769	-342.94881915
0.0139192590965	0.125491927957	0.0298619931277	0.0525363490032	-342.860752215
1.00974751318	0.0473334961738	0.227324858989	0.195592074708	-399.530648753
0.010877130368	0.121670598191	0.0228937715363	0.0553772601374	-342.478421779
0.543357848912	0.0243772817319	0.0844865902072	0.114981287566	-399.405675705
0.0124423711892	0.208742724208	0.0194523901277	0.088350876531	-342.978588299
1.13365240874	0.0471036889755	0.0845418272652	0.194593032389	-399.471959224
0.0106871982124	0.221734470176	0.0159742508191	0.093888567347	-343.117051596
0.0105285830364	0.236881038462	0.0150920349888	0.104419495296	-344.427326944
99.5423634624	0.234965957924	0.0023174684718	0.541259302534	-401.217099736
0.0101982616073	0.295551191434	0.0118218577816	0.127034377422	-346.647398478
0.0101407065502	0.153050603633	0.0190050222453	0.0626590960386	-341.581934525
72.1612453703	0.353392551208	0.00266430035644	0.624780630289	-404.989475822
0.010769128359	0.142922742012	0.0213726776881	0.0602945981596	-341.933834692
0.0119640059076	0.143724331207	0.0233111896878	0.0621297797123	-342.000308794
0.0807689295868	1.51045299813	0.26690167207	0.00128100406846	-390.451081812
0.0102529429121	0.15721268995	0.01836800162	0.0720993899143	-342.499273289
0.0100563442652	0.206618963474	0.0155861744834	0.0861671779982	-342.636609248
1.1952068347	0.0614301028158	0.0474163695881	0.237341292545	-399.572227364
0.0131869310091	0.263154616674	0.0167822666788	0.11071100733	-345.624730911
0.187880082296	0.0145418331803	0.288221705149	0.481356683958	-534.328194988
0.0101846658782	0.309207631436	0.0117385224613	0.130043923763	-347.020348606
0.080415440035	0.0146862316643	0.0781749065541	1.31774090915	-534.328194989
0.0137968257448	0.131207375699	0.0290485400081	0.0524746046331	-342.360285446
0.0101163081674	0.251201577697	0.013418423468	0.115966816351	-345.419478646
2.62950361051	0.110490003778	5.27392182264	0.457156838182	-399.448052864
0.0107019355298	0.182679094159	0.0179486141331	0.0819446021483	-342.690451674
4.44647538567	0.0890944882175	2.73913261064	0.396200930944	-399.46440409
0.0113836127939	0.124064919155	0.0240263150147	0.0532864700281	-341.865964748
0.0100007897037	0.104280273451	0.00409098880897	0.292077443293	-399.656838849
0.0106025254146	0.16175480552	0.0193154711432	0.0720679682664	-342.425008297
0.0104994763324	0.280903754023	0.0131127935725	0.11761876795	-345.434982504
0.0108116520361	0.244698314745	0.0115852528471	0.208341630527	-378.464470564
4.73894845565	0.0460164847969	0.00764437446398	0.191839858924	-399.543201663
22.2273659241	0.0860967386721	4.97005934009	0.448662365842	-399.443165098
0.0101076623675	0.140780246571	0.0204189245054	0.0569501242638	-341.794988086
0.0106496269421	0.162787599047	0.019551836187	0.0690956667419	-341.958911512
0.0104816566393	0.15335745598	0.0183982419179	0.0767506507897	-344.806717824
0.0122364213389	0.117394709216	0.0270896680283	0.0473004107918	-342.065950641
0.0104446489131	0.0955804057073	0.0248312175545	0.0414537069066	-342.051387597
1.52174441704	0.0106351692117	0.36045482935	0.0609640211368	-399.395199325
0.0103071867308	0.0686073636879	0.0272412338392	0.0290712523487	-345.667080353
1.53545617883	0.0740879838633	0.201002462859	0.274911963478	-399.554398184
4.78696588725	0.0125146159602	0.763676236037	0.0743945195422	-399.471938975
0.0110957546899	0.134934350068	0.0232394547756	0.0483992797109	-342.923670957
0.0121795170097	0.165153864076	0.0219625230042	0.0710707570075	-342.181000133
0.0124077222557	0.194173343457	0.02017088271	0.0865242491442	-343.238104622
0.0104026580155	0.226566964973	0.0160245377061	0.083878646006	-343.937027337
6.66860363171	0.121194120002	4.41410621254	0.545699645887	-399.438383613
0.0246995507092	0.0531457328871	0.0135128445727	0.475947962385	-532.908032906
0.0100357851696	0.246460757587	0.013464770799	0.108166987012	-344.407194172
0.0104041395787	0.17790715063	0.0178806034697	0.0777591004114	-342.246203265
0.0102752234188	0.177259936181	0.0176568861596	0.0741479046587	-341.889986881
0.0104968362548	0.175669984089	0.0180674073738	0.0760507434721	-342.043229295
0.0112606027453	0.286200556894	0.0134639474539	0.128154952746	-346.71422148
5.59480220281	0.141799442208	0.00872395405823	3.60052019956	-534.328194925
0.0112157441469	0.275864887842	0.0146179864264	0.109307889751	-345.123329786
0.0105292757432	0.152331445696	0.0204821025517	0.0651538386463	-343.358376076
94.020131213	0.0674901343065	0.00215316627173	0.252782706684	-399.538453533
0.598376166431	0.0288294155254	0.0144225747864	0.848426053923	-534.328194984
68.0168527194	0.516011160568	0.00582066200081	0.655903934753	-417.88542266
5.31534349894	0.0916506395946	5.59122539282	0.441699036611	-399.448919955
0.0100636842273	0.256239451596	0.0135440988971	0.111147306536	-344.71924836
97.5532534918	0.0964054866484	1.6054958849	0.41885201545	-399.460975299
0.0103032610798	0.117572103214	0.0221277323941	0.0695465497249	-360.873762893
0.0104948926003	0.173363322394	0.018512345534	0.0707370197243	-341.806078124
99.842579548	0.2442832959	0.0635388106179	0.572732189359	-401.412384289
0.0774900714072	0.446409187912	0.0282749144247	0.3396460859	-398.619932075
0.0102350288912	0.220596435143	0.0150697652305	0.0946077774245	-343.179072775
0.0117970318953	0.129304966089	0.0243029580443	0.0560775245859	-341.999015768
0.301780821048	0.0130827058252	0.0060581015578	2.39694549425e-05	-519.457467768
94.3572029264	0.0644008900551	0.443523714586	0.266002145344	-399.505001203
0.471512849606	0.018635028749	3.0520232639	0.080356385061	-399.47633316
0.160961272453	0.0486800514354	0.115777384487	1.42155632855	-534.328194985
84.3392552656	0.116936042634	0.0353535812131	0.370091949245	-399.740436151
0.0110047582681	0.212015946118	0.0169837105366	0.0899655048286	-342.884977178
0.0402756339421	0.0668170316169	0.0114912554675	0.230323188053	-399.50272048
0.0116361040766	0.171209458437	0.0199485481906	0.0772611663382	-342.749970147
1.81449103395	0.0684569631433	0.0303438240518	0.256369995497	-399.551524952
0.0103162375189	0.143891835131	0.020176716478	0.0573548609552	-341.575844696
11.2459867246	0.0459777578396	0.000335523430834	0.191257668417	-399.521761108
96.8651411841	0.0967148972828	0.145775114024	0.339232368611	-399.678702576
96.9127728973	0.33706330623	0.0104519955773	0.621879145792	-404.264392505
0.0110386952679	0.337354317104	0.0116912123818	0.140267218322	-348.766457075
2.15446387199	0.0517255260769	2.35500509592	0.239459651769	-399.50073976
0.0101463090646	0.309736848215	0.0114480603929	0.134246917195	-347.432277484
0.0120980939498	0.198079833615	0.019684014677	0.0784322024555	-342.696498489
0.011640281848	0.13832433334	0.0229082627359	0.0629335910349	-342.59282809
11.0227520457	0.333395063895	9.93904567805	1.36128480151	-399.468727548
99.0465787322	0.25631423198	0.00579344232532	0.569399628288	-401.757978497
0.0121021130729	0.0104417733614	0.638977806605	0.121043763068	-534.326578391
